,0,1,2,3,4
"(0, 1)",0.43498817966903075,0.5650118203309693,,,
"(0, 2)",0.17139479905437352,,0.8286052009456265,,
"(1, 2)",,0.4515366430260047,0.5484633569739953,,
"(0, 1, 2)",0.15839243498817968,0.2872340425531915,0.5543735224586288,,
"(0, 3)",0.1182033096926714,,,0.8817966903073287,
"(1, 3)",,0.20094562647754138,,0.7990543735224587,
"(0, 1, 3)",0.12056737588652482,0.15839243498817968,,0.7210401891252955,
"(2, 3)",,,0.475177304964539,0.524822695035461,
"(0, 2, 3)",0.061465721040189124,,0.4373522458628842,0.5011820330969267,
"(1, 2, 3)",,0.19739952718676124,0.2966903073286052,0.5059101654846335,
"(0, 1, 2, 3)",0.07328605200945626,0.14775413711583923,0.26713947990543735,0.5118203309692672,
"(0, 4)",0.10874704491725769,,,,0.8912529550827423
"(1, 4)",,0.17966903073286053,,,0.8203309692671394
"(0, 1, 4)",0.09101654846335698,0.12174940898345153,,,0.7872340425531915
"(2, 4)",,,0.30141843971631205,,0.6985815602836879
"(0, 2, 4)",0.05555555555555555,,0.3073286052009456,,0.6371158392434988
"(1, 2, 4)",,0.1536643026004728,0.21040189125295508,,0.6359338061465721
"(0, 1, 2, 4)",0.06973995271867613,0.09929078014184398,0.22104018912529552,,0.6099290780141844
"(3, 4)",,,,0.4515366430260047,0.5484633569739953
"(0, 3, 4)",0.041371158392434985,,,0.46217494089834515,0.49645390070921985
"(1, 3, 4)",,0.10756501182033097,,0.38416075650118203,0.508274231678487
"(0, 1, 3, 4)",0.061465721040189124,0.07328605200945626,,0.40425531914893614,0.46099290780141844
"(2, 3, 4)",,,0.29314420803782504,0.23404255319148937,0.4728132387706856
"(0, 2, 3, 4)",0.04728132387706856,,0.25177304964539005,0.26713947990543735,0.43380614657210403
"(1, 2, 3, 4)",,0.09101654846335698,0.19739952718676124,0.2565011820330969,0.45508274231678486
"(0, 1, 2, 3, 4)",0.0508274231678487,0.08392434988179669,0.18557919621749408,0.24940898345153664,0.4302600472813239
